id,name,category,serving_weight,serving_desc,emissions_per_serving,emissions_category_letter,emissions_category_description,carbon_label_url,preservation_methods,food_image_url,expiration_day
d33b1417-66c7-45c7-ab58-1c2b9abaa9be,rice,"Grains, pulses, and legumes",65,two handfuls,1.35377,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
c0d72f22-6511-48f6-b671-f5534ed3092b,soybeans,"Grains, pulses, and legumes",80,Three heaped serving spoons,2,B,Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+B.png,,,
0a961140-92aa-42ba-b3c5-598d09cf60fb,spaghetti,"Grains, pulses, and legumes",75,one bunch,1.37431,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
40c218b5-1956-4dc6-8fdf-944797988482,sushi rice,"Grains, pulses, and legumes",65,two handfuls,1.35377,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
c2cce169-cbdf-40a9-88cb-de6e87d549e3,tagliatelle,"Grains, pulses, and legumes",75,two handfuls,1.37431,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
7049cf6b-a13a-4689-877c-a7f39c16e0ee,wheat,"Grains, pulses, and legumes",80,Three heaped serving spoons,0.71846,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
3d6ce293-23e5-413a-bc24-a587ce83f137,white rice,"Grains, pulses, and legumes",65,two handfuls,1.35377,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
a16e8adc-37a9-4631-8076-8dd36b0cb2c1,wholemeal pasta,"Grains, pulses, and legumes",75,two handfuls,1.37431,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
3ed9ef5b-dee8-4439-bf5e-d24d9132b7d1,bacon,Meat and alternatives,80,two rashers,6.62826,E,Very High,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+E.png,,,
7d5c0b5b-bfe0-43a3-8455-bb868557bc83,beef,Meat and alternatives,160,About half the size of your hand,43.33033,E,Very High,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+E.png,,,
db5f5495-38bf-4ddd-8c6a-103c8d0c5b19,chicken,Meat and alternatives,150,one breast,4.70605,D,High,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+D.png,,,
93988a85-48c9-4151-82b4-ef7629974e2b,cocktail sausage,Meat and alternatives,60,four cocktail sausages,6.62826,E,Very High,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+E.png,,,
0cb7f4c4-27e5-4d2f-a571-f17603aa7ded,duck,Meat and alternatives,160,About half the size of your hand,5.05438,E,Very High,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+E.png,,,
9fec4dc0-c438-46a9-aafe-f9dcefb241d0,falafel,Meat and alternatives,40,two falafel,2.51,B,Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+B.png,,,
629b6bc2-2299-4e69-9840-3733bb63fb41,gammon,Meat and alternatives,160,About half the size of your hand,6.62826,E,Very High,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+E.png,,,
dd99a428-adbf-4a5c-89c0-d90d581db920,goat,Meat and alternatives,160,About half the size of your hand,35.71429,E,Very High,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+E.png,,,
11753274-ce62-4ead-bbd0-e8d145d009a2,goose,Meat and alternatives,160,About half the size of your hand,5.05438,E,Very High,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+E.png,,,
1344ab0d-b61f-4edd-84fe-5ac3b8010240,guinea fowl,Meat and alternatives,160,About half the size of your hand,5.05438,E,Very High,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+E.png,,,
d0517c4a-fa41-46d9-bbaf-29c8839b5977,ham,Meat and alternatives,30,two slices,6.62826,E,Very High,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+E.png,,,
240823c8-fb26-497e-ae72-dee30a9d038b,lamb,Meat and alternatives,160,About half the size of your hand,20.82537,E,Very High,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+E.png,,,
b67235ef-1918-4d9a-ac3d-5bddee2aee6d,meatless,Meat and alternatives,80,,2.29,B,Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+B.png,,,
6672d050-7350-4857-835d-550ff6d43b56,pancetta,Meat and alternatives,30,two slices,6.62826,E,Very High,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+E.png,,,
7c4eff2a-5c35-4931-92c9-54826ce9bce9,pork,Meat and alternatives,160,About half the size of your hand,6.62826,E,Very High,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+E.png,,,
ff022517-6d27-4f5a-8eb1-da7ba2e5c162,quorn,Meat and alternatives,100,,2.4,B,Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+B.png,,,
c7ba29ec-4e67-4dcb-a6cd-a4d439509b64,quorn classic burger,Meat and alternatives,90,,2.55,B,Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+B.png,,,
3f146ba0-8536-413d-b329-3c5f54638b5a,quorn crispy nuggets,Meat and alternatives,80,,1.96667,B,Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+B.png,,,
3011f401-eab5-47cf-b9c1-bb216862061d,quorn mince,Meat and alternatives,75,,1.69091,B,Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+B.png,,,
